Passengerid,Age,Sex,num_siblings,Pclass,Embarked,Survived
1,22,0,1,3,2,0
2,38,1,1,1,0,1
3,26,1,0,3,2,1
4,35,1,1,1,2,1
5,35,0,0,3,2,0
6,28,0,0,3,1,0
7,54,0,0,1,2,0
8,2,0,3,3,2,0
9,27,1,0,3,2,1
10,14,1,1,2,0,1
11,4,1,1,3,2,1
12,58,1,0,1,2,1
13,20,0,0,3,2,0
14,39,0,1,3,2,0
15,14,1,0,3,2,0
16,55,1,0,2,2,1
17,2,0,4,3,1,0
18,28,0,0,2,2,1
19,31,1,1,3,2,0
20,28,1,0,3,0,1
21,35,0,0,2,2,0
22,34,0,0,2,2,1
23,15,1,0,3,1,1
24,28,0,0,1,2,1
25,8,1,3,3,2,0
26,38,1,1,3,2,1
27,28,0,0,3,0,0
28,19,0,3,1,2,0
29,28,1,0,3,1,1
30,28,0,0,3,2,0
31,40,0,0,1,0,0
32,28,1,1,1,0,1
33,28,1,0,3,1,1
34,66,0,0,2,2,0
35,28,0,1,1,0,0
36,42,0,1,1,2,0
37,28,0,0,3,0,1
38,21,0,0,3,2,0
39,18,1,2,3,2,0
40,14,1,1,3,0,1
41,40,1,1,3,2,0
42,27,1,1,2,2,0
43,28,0,0,3,0,0
44,3,1,1,2,0,1
45,19,1,0,3,1,1
46,28,0,0,3,2,0
47,28,0,1,3,1,0
48,28,1,0,3,1,1
49,28,0,2,3,0,0
50,18,1,1,3,2,0
51,7,0,4,3,2,0
52,21,0,0,3,2,0
53,49,1,1,1,0,1
54,29,1,1,2,2,1
55,65,0,0,1,0,0
56,28,0,0,1,2,1
57,21,1,0,2,2,1
58,29,0,0,3,0,0
59,5,1,1,2,2,1
60,11,0,5,3,2,0
61,22,0,0,3,0,0
62,38,1,0,1,,1
63,45,0,1,1,2,0
64,4,0,3,3,2,0
65,28,0,0,1,0,0
66,28,0,1,3,0,1
71,32,0,0,2,2,0
72,16,1,5,3,2,0
82,29,0,0,3,2,1
83,28,1,0,3,1,1
84,28,0,0,1,2,0
85,17,1,0,2,2,1
86,33,1,3,3,2,1
87,16,0,1,3,2,0
88,28,0,0,3,2,0
89,23,1,3,1,2,1
90,24,0,0,3,2,0
91,29,0,0,3,2,0
92,20,0,0,3,2,0
93,46,0,1,1,2,0
94,26,0,1,3,2,0
95,59,0,0,3,2,0
96,28,0,0,3,2,0
97,71,0,0,1,0,0
98,23,0,0,1,0,1
99,34,1,0,2,2,1
100,34,0,1,2,2,0
101,28,1,0,3,2,0
102,28,0,0,3,2,0
103,21,0,0,1,2,0
104,33,0,0,3,2,0
105,37,0,2,3,2,0
106,28,0,0,3,2,0
107,21,1,0,3,2,1
108,28,0,0,3,2,1
109,38,0,0,3,2,0
110,28,1,1,3,1,1
111,47,0,0,1,2,0
112,15,1,1,3,0,0
113,22,0,0,3,2,0
114,20,1,1,3,2,0
115,17,1,0,3,0,0
116,21,0,0,3,2,0
117,71,0,0,3,1,0
118,29,0,1,2,2,0
119,24,0,0,1,0,0
120,2,1,4,3,2,0
121,21,0,2,2,2,0
122,28,0,0,3,2,0
123,33,0,1,2,0,0
124,33,1,0,2,2,1
125,54,0,0,1,2,0
126,12,0,1,3,0,1
127,28,0,0,3,1,0
128,24,0,0,3,2,1
129,28,1,1,3,0,1
130,45,0,0,3,2,0
131,33,0,0,3,0,0
132,20,0,0,3,2,0
133,47,1,1,3,2,0
134,29,1,1,2,2,1
135,25,0,0,2,2,0
136,23,0,0,2,0,0
137,19,1,0,1,2,1
138,37,0,1,1,2,0
139,16,0,0,3,2,0
140,24,0,0,1,0,0
141,28,1,0,3,0,0
142,22,1,0,3,2,1
143,24,1,1,3,2,1
144,19,0,0,3,1,0
145,18,0,0,2,2,0
146,19,0,1,2,2,0
147,27,0,0,3,2,1
